id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
25,"@drishyababu3751","Yes I am the alan walker biggest fan❤❤","UgySkmEfX_BoyzkH5794AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=UgySkmEfX_BoyzkH5794AaABAg","2023-10-01 12:13:23",0,"Yes I am the alan walker biggest fan❤❤","http://www.youtube.com/channel/UCc_DHYTMjbd_ih7S49j-gpQ",
26,"@kevinmanders445","I will never stop listening to anything from allanwalker me and wife split after 30years ,I have a beautiful daughter in university I always wake up smiling ty","Ugx-NJnKMg6RxDqeSWJ4AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=Ugx-NJnKMg6RxDqeSWJ4AaABAg","2023-09-29 22:27:14",0,"I will never stop listening to anything from allanwalker me and wife split after 30years ,I have a beautiful daughter in university I always wake up smiling ty","http://www.youtube.com/channel/UCR1uRIh3sZlr2DDPw8CLaQw",
27,"@aaronmartin743","This helps me get get energy and help when I feel sceard","UgxJzNoOxd28pbZpM4d4AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=UgxJzNoOxd28pbZpM4d4AaABAg","2023-09-28 20:58:18",0,"This helps me get get energy and help when I feel sceard","http://www.youtube.com/channel/UCeIMYpABtXU5AlpKehEhelg",
28,"@user-xu2dh8te8l","l Love you Alan walker ❤❤❤ we leave in Rwanda we love you","UgxeaF2ax39kZZeSTNF4AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=UgxeaF2ax39kZZeSTNF4AaABAg","2023-09-23 16:19:00",0,"l Love you Alan walker ❤❤❤ we leave in Rwanda we love you","http://www.youtube.com/channel/UC2fI0IM5QMNrY4zVDhNvIxA",
29,"@AnimeLover-fs8nm","Nothing can stop me from listen to Alan\'s song unless there is the Galactic War😅","UgxSoH7fUGHCSoac1ft4AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=UgxSoH7fUGHCSoac1ft4AaABAg","2023-09-21 22:46:55",0,"Nothing can stop me from listen to Alan\'s song unless there is the Galactic War😅","http://www.youtube.com/channel/UCUjAmvaKDlcywfXmmAD-dXw",
30,"@sofeaellahjeancasiba8302","I love it...❤","UgyNdUCfkjSiAiS6fwh4AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=UgyNdUCfkjSiAiS6fwh4AaABAg","2023-09-17 23:31:47",0,"I love it...❤","http://www.youtube.com/channel/UCRPHqhnICuM-GpVG6lp-JAA",
31,"@AnimeLover-fs8nm","Everyone let say : Hello to the WORLD","Ugyv6JN-K5jkNPTNxEx4AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=Ugyv6JN-K5jkNPTNxEx4AaABAg","2023-09-17 21:27:16",0,"Everyone let say : Hello to the WORLD","http://www.youtube.com/channel/UCUjAmvaKDlcywfXmmAD-dXw",
32,"@maniasoker","Is it a bad thing i associate this song with the coding language python **print(""Hello world"") is one of the first things u learn.**","UgwWA0cAR1qpWV9exyR4AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=UgwWA0cAR1qpWV9exyR4AaABAg","2023-09-16 19:26:04",0,"Is it a bad thing i associate this song with the coding language python **print(""Hello world"") is one of the first things u learn.**","http://www.youtube.com/channel/UCmxG9iS7mFtFDBQa5CgurpQ",
33,"@juliavitoria-wl6yl","💔💔","UgyIFC9sywhRAaA7Q1F4AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=UgyIFC9sywhRAaA7Q1F4AaABAg","2023-09-07 14:49:24",0,"💔💔","http://www.youtube.com/channel/UCIdxdw4hG3ielVax4XpQO-A",
34,"@jerosjulianjr.infante7971","I feel as if this would be a good theme song for The Doctor. Especially ""I\'ve become somebody else/So this is how it feels to say goodbye""","UgwYI7sBF_7AQhZ-JLl4AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=UgwYI7sBF_7AQhZ-JLl4AaABAg","2023-09-03 06:36:46",0,"I feel as if this would be a good theme song for The Doctor. Especially ""I\'ve become somebody else/So this is how it feels to say goodbye""","http://www.youtube.com/channel/UC4wRnDRrsSug1O7SvumuC_g",
35,"@kwokhocheng","二哥薩克斯風不","UgwBnImXOhc6ky61maN4AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=UgwBnImXOhc6ky61maN4AaABAg","2023-09-02 07:04:34",0,"二哥薩克斯風不","http://www.youtube.com/channel/UChp76MIjyCK25lZ4dR0OJRQ",
